Ticker,CIK
aapl,320193
msft,789019
amzn,1018724
goog,1652044
fb,1326801
tcehy,1293451
baba,1577552
tsla,1318605
brk-a,1067983
tsm,1046179
v,1403161
wmt,104169
jnj,200406
jpm,19617
pg,80424
spy,884394
ma,1141391
nvda,1045810
unh,731766
dis,1744489
lvmuy,824046
hd,354950
pypl,1633917
idcby,1445468
bac,70858
vz,732712
adbe,796343
nflx,1065280
cmcsa,1166691
ko,21344
nke,320187
crm,1108524
tm,1094517
pfe,78003
t,732717
nvs,1114448
mrk,310158
asml,937966
orcl,1341439
pep,77476
orcl,1341439
abt,1800
intc,50863
csco,858877
tmo,97745
cichy,1445474
abbv,1551152
avgo,1730168
xom,34088
acn,1467373
pdd,1737806
qcom,804328
acgby,1501437
bhp,811809
nvo,353278
tmus,1283699
cvx,93410
cost,909832
cihky,1495688
lly,59478
dhr,313616
mcd,63908
shop,1594805
mdt,1613103
ul,217410
sap,1000184
ups,1090727
txn,97476
sftby,1065521
nee,753308
hon,773840
rtntf,887028
bmy,14272
bud,1668717
unp,100885
rds-a,1306965
lfc,1268896
bbl,1171264
lin,1707925
bachy,1378999
azn,901832
amgn,318154
chtr,1091667
pm,1413329
jd,1549802
ba,12927
c,831001
qqq,1067839
sny,1121404
low,60667
ms,895421
sbux,829224
sne,313838
wfc,72971
zm,1585521
chl,1117795
ry,1000275
tot,879764
amd,2488
ibm,51143
now,1373715
hesay,1436949
sq,1512673
ptr,1108329
blk,1364742
rtx,101829
intu,896878
hsbc,1089113
hdb,1144967
mmm,66740
td,947263
se,1703399
amt,1053507
abnb,1559720
lmt,936468
schw,316709
snow,1640147
chdry,1450488
cat,18230
isrg,1035267
uber,1543151
rio,863064
el,1001250
ge,40545
axp,4962
deo,835403
gsk,1131399
syk,310764
cvs,64803
tgt,27419
meli,1099590
vale,917851
gs,886982
ppruy,1445465
de,315189
eadsy,1378580
bkng,1075531
fis,1136893
frcoy,1446595
bti,1303523
mdlz,1103982
dnngy,1679771
tjx,109198
chgcy,1453934
beke,1809587
sbgsy,923734
mo,764180
mu,723125
amat,6951
cta-pa,30554
snap,1564408
cni,16868
zts,1555280
aiquy,1161167
spgi,64040
adp,8670
antm,1156039
nio,1736541
dmlry,1067318
fisv,798354
byddy,1445162
fdx,1048911
cl,21665
pld,1045609
bdx,10795
gild,882095
njdcy,1158967
infy,1067491
bp,313807
ci,1739940
pbr,1119639
snp,1123658
shecy,1442651
atvi,718877
lrcx,707549
usb,36104
esloy,1085922
csx,277948
cb,896159
shw,89800
adsk,769397
kddiy,1106215
cci,1051470
duk,1326160
bidu,1329099
cme,1156375
enb,895728
bnpqy,310732
hkxcy,1445476
bns,9631
itw,49826
eqix,1101239
ice,1571949
so,92122
ntes,1110646
dkily,1446519
tfc,92230
rbgly,1420798
wday,1327811
team,1650372
ecl,31462
vrtx,875320
spot,1639920
pnc,713676
pstvy,1689565
safry,1364012
bam,1001085
d,715957
twlo,1447669
gpn,1123360
vmw,1124610
nsc,702165
gm,1467858
apd,2969
mmc,62709
pgr,80661
tak,1395064
race,1648416
abb,1091587
mufg,67088
itub,1132597
vcisy,1065198
hca,860730
ew,1099800
mraay,1450468
ntoiy,1436791
dell,1571996
ilmn,1110803
toely,1443276
san,891478
wbk,719245
adi,6281
eqnr,1140625
mco,1059556
